Sample name,title,source name,organism,characteristics: age,characteristics: developmental stage,characteristics: sex,molecule,description,processed data file ,raw file,BioSample,Instrument Model
A1_384Bulk_Plate1_S1,Tabula Muris Senis (bulk RNA seq),BAT_24,Mus musculus C57/BL6,6,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127205,SAMN11854566,Illumina NovaSeq 6000
A1_384Bulk_Plate3_S1,Tabula Muris Senis (bulk RNA seq),SCAT_43,Mus musculus C57/BL6,3,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127206,SAMN11854567,Illumina NovaSeq 6000
A10_384Bulk_Plate1_S10,Tabula Muris Senis (bulk RNA seq),Brain_47,Mus musculus C57/BL6,18,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127203,SAMN11854568,Illumina NovaSeq 6000
A10_384Bulk_Plate2_S10,Tabula Muris Senis (bulk RNA seq),GAT_39,Mus musculus C57/BL6,1,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127204,SAMN11854569,Illumina NovaSeq 6000
A10_384Bulk_Plate3_S10,Tabula Muris Senis (bulk RNA seq),Lung_6,Mus musculus C57/BL6,12,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127371,SAMN11854570,Illumina NovaSeq 6000
A11_384Bulk_Plate1_S11,Tabula Muris Senis (bulk RNA seq),Limb_Muscle_11,Mus musculus C57/BL6,3,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127373,SAMN11854571,Illumina NovaSeq 6000
A11_384Bulk_Plate2_S11,Tabula Muris Senis (bulk RNA seq),WBC_34,Mus musculus C57/BL6,9,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127107,SAMN11854572,Illumina NovaSeq 6000
A11_384Bulk_Plate3_S11,Tabula Muris Senis (bulk RNA seq),Small_Intestine_46,Mus musculus C57/BL6,12,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127127,SAMN11854573,Illumina NovaSeq 6000
A12_384Bulk_Plate1_S12,Tabula Muris Senis (bulk RNA seq),Limb_Muscle_38,Mus musculus C57/BL6,9,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127454,SAMN11854574,Illumina NovaSeq 6000
A12_384Bulk_Plate2_S12,Tabula Muris Senis (bulk RNA seq),Liver_56,Mus musculus C57/BL6,6,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9126831,SAMN11854575,Illumina NovaSeq 6000
A12_384Bulk_Plate3_S12,Tabula Muris Senis (bulk RNA seq),Lung_17,Mus musculus C57/BL6,12,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127028,SAMN11854576,Illumina NovaSeq 6000
A13_384Bulk_Plate1_S13,Tabula Muris Senis (bulk RNA seq),Spleen_7,Mus musculus C57/BL6,12,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127029,SAMN11854577,Illumina NovaSeq 6000
A13_384Bulk_Plate2_S13,Tabula Muris Senis (bulk RNA seq),Pancreas_20,Mus musculus C57/BL6,15,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127026,SAMN11854578,Illumina NovaSeq 6000
A13_384Bulk_Plate3_S13,Tabula Muris Senis (bulk RNA seq),Brain_51,Mus musculus C57/BL6,18,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127027,SAMN11854579,Illumina NovaSeq 6000
A14_384Bulk_Plate1_S14,Tabula Muris Senis (bulk RNA seq),Bone_15,Mus musculus C57/BL6,15,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127024,SAMN11854580,Illumina NovaSeq 6000
A14_384Bulk_Plate2_S14,Tabula Muris Senis (bulk RNA seq),SCAT_2,Mus musculus C57/BL6,9,months postnatal,f,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127025,SAMN11854581,Illumina NovaSeq 6000
A14_384Bulk_Plate3_S14,Tabula Muris Senis (bulk RNA seq),Small_Intestine_34,Mus musculus C57/BL6,3,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127022,SAMN11854582,Illumina NovaSeq 6000
A15_384Bulk_Plate1_S15,Tabula Muris Senis (bulk RNA seq),GAT_33,Mus musculus C57/BL6,6,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127023,SAMN11854583,Illumina NovaSeq 6000
A15_384Bulk_Plate2_S15,Tabula Muris Senis (bulk RNA seq),MAT_15,Mus musculus C57/BL6,18,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127020,SAMN11854584,Illumina NovaSeq 6000
A16_384Bulk_Plate1_S16,Tabula Muris Senis (bulk RNA seq),Lung_7,Mus musculus C57/BL6,1,months postnatal,m,total RNA,,190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX,SRR9127021,SAMN11854585,Illumina NovaSeq 6000
